,puntuacion usuarios,marca
10418,8.6,SONY
11839,8.6,SONY
13239,8.6,SONY
5725,8.6,SONY
15912,8.6,SONY
3365,8.6,SONY
16560,8.6,SONY
11846,8.6,SONY
16559,8.6,SONY
16017,8.6,SONY
16477,8.6,SONY
15210,8.6,SONY
13251,8.6,SONY
15875,8.6,SONY
16057,8.6,SONY
10809,8.6,SONY
8077,8.6,SONY
15237,8.6,SONY
15238,8.6,SONY
11425,8.6,SONY
16489,8.6,SONY
8054,8.6,SONY
7025,8.6,SONY
11849,8.5,SONY
9063,8.5,SONY
10946,8.5,SONY
15862,8.5,SONY
14400,8.5,SONY
5757,8.5,SONY
14453,8.5,SONY
10956,8.5,SONY
5718,8.5,SONY
11223,8.5,SONY
13430,8.5,SONY
11211,8.5,SONY
8765,8.5,SONY
11902,8.5,SONY
10038,8.5,SONY
3086,8.5,SONY
14545,8.5,SONY
3824,8.5,SONY
10948,8.5,SONY
8850,8.5,SONY
5019,8.5,SONY
4995,8.5,SONY
11177,8.5,SONY
15793,8.5,SONY
15798,8.5,SONY
11730,8.5,SONY
14305,8.5,SONY
6599,8.5,SONY
14295,8.5,SONY
6028,8.5,SONY
11711,8.5,SONY
10785,8.5,SONY
9677,8.5,SONY
9726,8.5,SONY
3437,8.5,SONY
10793,8.5,SONY
9807,8.5,SONY
3440,8.5,SONY
16514,8.5,SONY
16520,8.5,SONY
16553,8.5,SONY
4412,8.5,SONY
13634,8.5,SONY
13661,8.5,SONY
16590,8.5,SONY
9944,8.5,SONY
13741,8.5,SONY
13729,8.5,SONY
13707,8.5,SONY
16336,8.5,SONY
16291,8.5,SONY
6642,8.5,SONY
16290,8.5,SONY
11836,8.5,SONY
12536,8.5,SONY
14224,8.5,SONY
1981,8.5,SONY
6617,8.5,SONY
14169,8.5,SONY
12553,8.5,SONY
11821,8.5,SONY
6606,8.5,SONY
6601,8.5,SONY
10062,8.5,SONY
16095,8.5,SONY
16107,8.5,SONY
3398,8.5,SONY
3399,8.5,SONY
10748,8.5,SONY
16193,8.5,SONY
16229,8.5,SONY
16232,8.5,SONY
8736,8.5,SONY
2585,8.5,SONY
2897,8.5,SONY
8605,8.5,SONY
15428,8.5,SONY
1614,8.5,SONY
2598,8.5,SONY
5164,8.5,SONY
13281,8.5,SONY
11414,8.5,SONY
8548,8.5,SONY
14852,8.5,SONY
15439,8.5,SONY
11668,8.5,SONY
2578,8.5,SONY
10360,8.5,SONY
1357,8.5,SONY
14849,8.5,SONY
11628,8.5,SONY
7843,8.5,SONY
13285,8.5,SONY
3132,8.5,SONY
2597,8.5,SONY
14845,8.5,SONY
7627,8.5,SONY
14803,8.5,SONY
14804,8.5,SONY
10993,8.5,SONY
10234,8.5,SONY
13395,8.5,SONY
13290,8.5,SONY
14816,8.5,SONY
8643,8.5,SONY
14821,8.5,SONY
15620,8.5,SONY
14681,8.5,SONY
14634,8.5,SONY
15376,8.5,SONY
7328,8.5,SONY
10959,8.5,SONY
13383,8.5,SONY
14663,8.5,SONY
7297,8.5,SONY
15629,8.5,SONY
7772,8.5,SONY
13421,8.5,SONY
7310,8.5,SONY
15675,8.5,SONY
14684,8.5,SONY
2584,8.5,SONY
7262,8.5,SONY
7757,8.5,SONY
14885,8.5,SONY
13272,8.5,SONY
15610,8.5,SONY
16196,8.4,SONY
12907,8.4,SONY
9465,8.4,SONY
9476,8.4,SONY
16353,8.4,SONY
9577,8.4,SONY
16197,8.4,SONY
16224,8.4,SONY
4689,8.4,SONY
7846,8.4,SONY
11782,8.4,SONY
13510,8.4,SONY
12623,8.4,SONY
3900,8.4,SONY
16199,8.4,SONY
4705,8.4,SONY
13506,8.4,SONY
4701,8.4,SONY
15331,8.4,SONY
14066,8.4,SONY
11269,8.4,SONY
9508,8.4,SONY
11231,8.4,SONY
15281,8.4,SONY
16356,8.4,SONY
16358,8.4,SONY
13642,8.4,SONY
11413,8.4,SONY
15100,8.4,SONY
15103,8.4,SONY
11745,8.4,SONY
4450,8.4,SONY
9943,8.4,SONY
13747,8.4,SONY
5303,8.4,SONY
12718,8.4,SONY
16596,8.4,SONY
15118,8.4,SONY
16619,8.4,SONY
9966,8.4,SONY
10870,8.4,SONY
16623,8.4,SONY
11396,8.4,SONY
16624,8.4,SONY
8246,8.4,SONY
5315,8.4,SONY
15088,8.4,SONY
15086,8.4,SONY
11761,8.4,SONY
16367,8.4,SONY
2207,8.4,SONY
6330,8.4,SONY
16402,8.4,SONY
11302,8.4,SONY
16191,8.4,SONY
13556,8.4,SONY
11763,8.4,SONY
16457,8.4,SONY
4199,8.4,SONY
4543,8.4,SONY
10326,8.4,SONY
15064,8.4,SONY
11419,8.4,SONY
16531,8.4,SONY
16550,8.4,SONY
2272,8.4,SONY
2276,8.4,SONY
4190,8.4,SONY
6552,8.4,SONY
15841,8.4,SONY
10923,8.4,SONY
14439,8.4,SONY
15799,8.4,SONY
15802,8.4,SONY
15803,8.4,SONY
10205,8.4,SONY
11108,8.4,SONY
13211,8.4,SONY
1880,8.4,SONY
4165,8.4,SONY
5595,8.4,SONY
13413,8.4,SONY
1888,8.4,SONY
3338,8.4,SONY
3340,8.4,SONY
11102,8.4,SONY
4169,8.4,SONY
8590,8.4,SONY
13447,8.4,SONY
975,8.4,SONY
3119,8.4,SONY
7181,8.4,SONY
13431,8.4,SONY
10043,8.4,SONY
8688,8.4,SONY
14576,8.4,SONY
14566,8.4,SONY
7217,8.4,SONY
15704,8.4,SONY
10183,8.4,SONY
15582,8.4,SONY
15714,8.4,SONY
10186,8.4,SONY
11260,8.4,SONY
11190,8.4,SONY
11170,8.4,SONY
11924,8.4,SONY
15597,8.4,SONY
15942,8.4,SONY
765,8.4,SONY
9132,8.4,SONY
15997,8.4,SONY
10916,8.4,SONY
16005,8.4,SONY
14846,8.4,SONY
4175,8.4,SONY
9186,8.4,SONY
9263,8.4,SONY
12542,8.4,SONY
14179,8.4,SONY
4822,8.4,SONY
14869,8.4,SONY
3896,8.4,SONY
16091,8.4,SONY
14890,8.4,SONY
5493,8.4,SONY
10900,8.4,SONY
8534,8.4,SONY
9404,8.4,SONY
14094,8.4,SONY
10247,8.4,SONY
12541,8.4,SONY
16013,8.4,SONY
15986,8.4,SONY
10918,8.4,SONY
12499,8.4,SONY
12519,8.4,SONY
12510,8.4,SONY
12750,8.3,SONY
4013,8.3,SONY
10395,8.3,SONY
10939,8.3,SONY
2619,8.3,SONY
13681,8.3,SONY
13683,8.3,SONY
12999,8.3,SONY
2779,8.3,SONY
10885,8.3,SONY
13488,8.3,SONY
10891,8.3,SONY
10009,8.3,SONY
10091,8.3,SONY
10893,8.3,SONY
13048,8.3,SONY
13183,8.3,SONY
13680,8.3,SONY
13141,8.3,SONY
10037,8.3,SONY
10982,8.3,SONY
12745,8.3,SONY
12751,8.3,SONY
13119,8.3,SONY
10263,8.3,SONY
13600,8.3,SONY
3914,8.3,SONY
10966,8.3,SONY
12913,8.3,SONY
13628,8.3,SONY
12927,8.3,SONY
13481,8.3,SONY
13652,8.3,SONY
10021,8.3,SONY
10399,8.3,SONY
9975,8.3,SONY
10894,8.3,SONY
1832,8.3,SONY
12725,8.3,SONY
7120,8.3,SONY
15473,8.3,SONY
15483,8.3,SONY
5573,8.3,SONY
15527,8.3,SONY
15532,8.3,SONY
15539,8.3,SONY
15544,8.3,SONY
15599,8.3,SONY
7315,8.3,SONY
7298,8.3,SONY
907,8.3,SONY
11918,8.3,SONY
7236,8.3,SONY
7233,8.3,SONY
7141,8.3,SONY
15472,8.3,SONY
7701,8.3,SONY
7702,8.3,SONY
15275,8.3,SONY
11353,8.3,SONY
11368,8.3,SONY
5271,8.3,SONY
15147,8.3,SONY
15152,8.3,SONY
9970,8.3,SONY
15293,8.3,SONY
7703,8.3,SONY
15330,8.3,SONY
7821,8.3,SONY
7820,8.3,SONY
7765,8.3,SONY
5542,8.3,SONY
7725,8.3,SONY
7129,8.3,SONY
11901,8.3,SONY
5231,8.3,SONY
11900,8.3,SONY
6487,8.3,SONY
450,8.3,SONY
6389,8.3,SONY
6367,8.3,SONY
6366,8.3,SONY
6340,8.3,SONY
16369,8.3,SONY
6320,8.3,SONY
16401,8.3,SONY
16418,8.3,SONY
242,8.3,SONY
16472,8.3,SONY
16497,8.3,SONY
16543,8.3,SONY
16630,8.3,SONY
11794,8.3,SONY
16165,8.3,SONY
11796,8.3,SONY
11834,8.3,SONY
11884,8.3,SONY
11867,8.3,SONY
15874,8.3,SONY
15886,8.3,SONY
11842,8.3,SONY
5893,8.3,SONY
15989,8.3,SONY
11799,8.3,SONY
5906,8.3,SONY
16011,8.3,SONY
11828,8.3,SONY
6580,8.3,SONY
16120,8.3,SONY
16133,8.3,SONY
8355,8.3,SONY
8133,8.3,SONY
9204,8.3,SONY
14002,8.3,SONY
9754,8.3,SONY
9698,8.3,SONY
9696,8.3,SONY
9651,8.3,SONY
13966,8.3,SONY
13986,8.3,SONY
12637,8.3,SONY
14043,8.3,SONY
1902,8.3,SONY
9396,8.3,SONY
4780,8.3,SONY
4792,8.3,SONY
14152,8.3,SONY
9298,8.3,SONY
9198,8.3,SONY
9140,8.3,SONY
9767,8.3,SONY
9805,8.3,SONY
9808,8.3,SONY
9821,8.3,SONY
13738,8.3,SONY
12724,8.3,SONY
13764,8.3,SONY
2314,8.3,SONY
4456,8.3,SONY
12697,8.3,SONY
9931,8.3,SONY
4463,8.3,SONY
4466,8.3,SONY
2283,8.3,SONY
4486,8.3,SONY
9887,8.3,SONY
9843,8.3,SONY
2265,8.3,SONY
9826,8.3,SONY
14338,8.3,SONY
10854,8.3,SONY
3060,8.3,SONY
14941,8.3,SONY
14687,8.3,SONY
14682,8.3,SONY
14671,8.3,SONY
11117,8.3,SONY
1674,8.3,SONY
14655,8.3,SONY
14624,8.3,SONY
11263,8.3,SONY
14909,8.3,SONY
14603,8.3,SONY
5074,8.3,SONY
1598,8.3,SONY
8448,8.3,SONY
11205,8.3,SONY
11182,8.3,SONY
