id,nombre,plataforma,marca,puntuacion usuarios
6195,TowerFall Ascension,PC,PC,6.9
6856,TowerFall Ascension,PlayStation4,SONY,7.0
12682,Monster Boy and the Cursed Kingdom,PlayStation4,SONY,8.0
13934,Zero Escape: The Nonary Games,PlayStation4,SONY,8.2
13740,Okami HD,PlayStation4,SONY,8.2
13757,Fight Night Round 2,GameCube,NINTENDO,8.2
12585,Dragon Age: Origins,PlayStation3,SONY,8.0
14498,Guacamelee!,PlayStationVita,SONY,8.3
12281,Total War: WARHAMMER II,PC,PC,7.9
11693,Tom Clancy's Splinter Cell: Pandora Tomorrow,PC,PC,7.8
16163,Football Manager 2010,PC,PC,8.8
3385,Kentucky Route Zero: TV Edition,XboxOne,MICROSOFT,6.0
14371,Hotline Miami,PlayStation3,SONY,8.3
10158,Battlefield 1,XboxOne,MICROSOFT,7.6
15385,Company of Heroes: Opposing Fronts,PC,PC,8.6
13166,The Walking Dead: Season Two Episode 5 - No Going Back,PlayStation3,SONY,8.1
14548,Puzzle Quest: Challenge of the Warlords,Xbox360,MICROSOFT,8.3
16161,Metropolis Street Racer,Dreamcast,SEGA,8.8
16162,SOCOM II: U.S. Navy SEALs,PlayStation2,SONY,8.8
14324,Jak II,PlayStation2,SONY,8.3
14282,Icewind Dale,PC,PC,8.3
11667,Monster Hunter: World - Iceborne,PC,PC,7.8
16159,Syphon Filter: Dark Mirror,PSP,SONY,8.8
10401,XCOM 2,XboxOne,MICROSOFT,7.6
14477,Red Dead Redemption: Undead Nightmare Pack,PlayStation3,SONY,8.3
16158,Commandos 2: Men of Courage,PC,PC,8.8
4623,Street Fighter V: Arcade Edition,PlayStation4,SONY,6.5
9898,FIFA Soccer 09,PlayStation3,SONY,7.5
11893,LittleBigPlanet,PSP,SONY,7.8
12150,The Walking Dead: Episode 3 - Long Road Ahead,PlayStation3,SONY,7.9
9748,Rocksmith 2014 Edition,Xbox360,MICROSOFT,7.5
9918,La-Mulana,Wii,NINTENDO,7.5
10409,Sonic Mania Plus,PlayStation4,SONY,7.6
13528,BlazBlue: Continuum Shift,PlayStation3,SONY,8.1
15820,Europa Universalis IV,PC,PC,8.7
11227,Pokemon Moon,3DS,NINTENDO,7.7
14275,New Super Mario Bros. Wii,Wii,NINTENDO,8.3
13824,Battlefield: Bad Company 2,PC,PC,8.2
14332,Metal Gear Solid 2: Substance,Xbox,MICROSOFT,8.3
12386,Middle-earth: Shadow of Mordor,XboxOne,MICROSOFT,7.9
15674,Dead or Alive 3,Xbox,MICROSOFT,8.6
16175,Animal Crossing,GameCube,NINTENDO,8.8
16607,Pokemon SoulSilver Version,DS,NINTENDO,9.2
7263,Battlefield 3: Armored Kill,PC,PC,7.1
16027,Zeus: Master of Olympus,PC,PC,8.7
16363,RimWorld,PC,PC,8.9
15942,Disgaea: Afternoon of Darkness,PSP,SONY,8.7
14706,The Legend of Zelda: Link's Awakening,Switch,NINTENDO,8.4
16578,Bloodborne: The Old Hunters,PlayStation4,SONY,9.1
14976,Beyond Good & Evil,Xbox,MICROSOFT,8.4
8352,XCOM 2,PlayStation4,SONY,7.3
8320,MotoGP 2,Xbox,MICROSOFT,7.3
15466,Mario Kart: Double Dash!!,GameCube,NINTENDO,8.6
12721,Driver,PlayStation,SONY,8.0
13005,Tony Hawk's Pro Skater 3,PlayStation,SONY,8.0
15976,Divinity: Original Sin,PC,PC,8.7
13471,Fight Night Round 4,Xbox360,MICROSOFT,8.1
13503,Fire Emblem Fates: Conquest,3DS,NINTENDO,8.1
15231,Axiom Verge,Switch,NINTENDO,8.5
15253,SSX Tricky,GameCube,NINTENDO,8.5
9992,MechWarrior 4: Vengeance,PC,PC,7.6
15299,Elite Beat Agents,DS,NINTENDO,8.5
14679,Rayman Legends,PlayStationVita,SONY,8.4
5543,NBA 2K16,PlayStation4,SONY,6.7
15606,The Swapper,PC,PC,8.6
10640,Pokemon White Version,DS,NINTENDO,7.7
15587,Dragon Quest IX: Sentinels of the Starry Skies,DS,NINTENDO,8.6
14625,Super Monkey Ball 2,GameCube,NINTENDO,8.4
13399,DiRT 2,Xbox360,MICROSOFT,8.1
16160,Power Stone 2,Dreamcast,SEGA,8.8
6183,The Witness,PC,PC,6.9
12104,FIFA Soccer 09,Xbox360,MICROSOFT,7.9
12200,Bionic Commando Rearmed,PlayStation3,SONY,7.9
10745,Gears of War,PC,PC,7.7
15634,Half-Life 2: Episode One,PC,PC,8.6
13319,Injustice 2,PlayStation4,SONY,8.1
14919,Dead Space 2,PC,PC,8.4
14949,Rayman Origins,PlayStation3,SONY,8.4
